catalog_number,overview,ids
172759,,2984162
102233,,2984163
P85027,,2984164
BP415-36,,2984165
172704,,2984166
117020,<p>RO-5 Read Out Meter with a scale range of 0-25 feet. Designed to be attached to circuit setter balancing valves to read feet of head to set the valve to a precise flow.</p>,2984167
104300,,2984168
102226,"<p>Series HD3 cast iron pumps are dependable, in-line booster pumps intended to pump water through closed loop systems for heating and cooling. The Series HD3 is designed for applications that require increased flow and head pressures. The Series HD3 features a three-piece design, which includes a motor, bearing assembly and volute. This innovative design provides for easy field service as the bearings, shaft and seal are all housed within the bearing assembly. That assembly can then be easily repaired or entirely replaced without disturbing the other components of your pump. The Series HD3's resilient motor mounting is another feature unique to Bell &amp; Gossett. The mounting, combined with spring-loaded couplers, means your pump will run quietly and efficiently. The Series HD3 features a plastic impeller. A tube of Bell &amp; Gossett oil along with flange gaskets and mounting hardware are included with the pump. A pair of 3"" flanges are also included.</p>",2984170
185334LF,"<p>Bell &amp; Gossett maintenance-free bearing assembly for B&amp;G series PD and 60 pumps, including all pumping parts (bearings, shaft, shaft sleeve, seal kit, etc.) pre-assembled into a new pump housing. The bearing assembly also includes a volute cover gasket.</p>",2984171
179044,,2984169
112076,,2984172
169232,"<p>Bell &amp; Gossett 1 HP, 115 volt, single phase, 1725 RPM, oil-lubricated motor for B&amp;G series 60 pumps, specifically models 612S, 614S, and 616S in iron or bronze. This motor features a two-piece motor bracket, for easy service, sleeve bearings, and replaceable, resilient motor mounts. A modern, built-in thermal overload protector shuts the motor off if it overheats. All parts are UL recognized.</p>",2984173
P50739,"<p>Bell &amp; Gossett bronze impeller for B&amp;G series 1531 pumps with 1-5/8"" shafts, size 2-1/2 BB. Also fits series 1510 2-1/2 BB pumps. Impeller diameter must be specified when ordered as this impeller is trimmable. Impeller diameter will be found on the pump's I.D. tag. Impellers are installed on the end of the pump shaft, which spins the impeller in turn pumping water, or other liquid, throughout your system.</p>",2984174
P78525,"<p>Bell &amp; Gossett bronze impeller for B&amp;G series 1531 pumps with 1-1/4"" shafts, size 2BB. Also fits series 1510 pumps, sizes 2BB and 2-1/2 BB. Impeller diameter must be specified when ordered as this impeller is trimmable. Impeller diameter will be found on the pump's I.D. tag. Impellers are installed on the end of the pump shaft, which spins the impeller in turn pumping water, or other liquid, throughout your system.</p>",2984175
1BN055LF,,2984176
60-614T,,2984177
185262,,2984178
105089,"<p>Series PD cast iron pumps are dependable, in-line booster pumps intended to pump water through closed loop systems for heating and cooling. The Series PD is designed for applications that require increased flow and head pressures. The Series PD features a three-piece design, which includes a motor, bearing assembly and volute. This innovative design provides for easy field service as the bearings, shaft and seal are all housed within the bearing assembly. That assembly can then be easily repaired or entirely replaced without disturbing the other components of your pump. The Series PD's resilient motor mounting is another feature unique to Bell &amp; Gossett. The mounting, combined with spring-loaded couplers, means your pump will run quietly and efficiently. The Series PD features a plastic impeller. A tube of Bell &amp; Gossett oil along with flange gaskets and mounting hardware are included with the pump. A pair of 3"" flanges are also included.</p>",2984179
P42268,,2984180
P50852,"<p>Bell &amp; Gossett bronze impeller for B&amp;G series 1510 pumps with 1-1/4"" shafts, size 3E. Impeller diameter must be specified when ordered as this impeller is trimmable. Impeller diameter will be found on the pump's I.D. tag. Impellers are installed on the end of the pump shaft, which spins the impeller in turn pumping water, or other liquid, throughout your system.</p>",2984181
105093,"<p>Series PD cast iron pumps are dependable, in-line booster pumps intended to pump water through closed loop systems for heating and cooling. The Series PD is designed for applications that require increased flow and head pressures. The Series PD features a three-piece design, which includes a motor, bearing assembly and volute. This innovative design provides for easy field service as the bearings, shaft and seal are all housed within the bearing assembly. That assembly can then be easily repaired or entirely replaced without disturbing the other components of your pump. The Series PD's resilient motor mounting is another feature unique to Bell &amp; Gossett. The mounting, combined with spring-loaded couplers, means your pump will run quietly and efficiently. The Series PD features a plastic impeller. A tube of Bell &amp; Gossett oil along with flange gaskets and mounting hardware are included with the pump. A pair of 3"" flanges are also included.</p>",2984182
B05304B,,2984184
168023,"<p>Series 1535 cast iron centrifugal pumps are robust, close-coupled, foot-mounted pumps intended to pump water through closed loop systems for hydronic heating and cooling, primarily in commercial settings. These pumps are ideal in applications where front end suction and top discharge is needed. The Series 1535 features a back pull-out design, which allows the pump to be serviced without disturbing system piping. Series 1535 pumps can be mounting either vertically or horizontally, providing a wide range of application flexibility. High quality, permanently lubricated ball bearings, along with a self-flushing mechanical seal, on the Series 1535 means years of dependable service. The 352S is a single phase pump and includes a bronze impeller, a 1-1/4"" end suction, and a 1"" top discharge.</p>",2984183
116526,<p>Bell &amp; Gossett Series D 44.4 gallon vertical ASME diaphragm expansion tank with an acceptance volume of 22.6. Series D expansion tanks are ASME rated pre-charged diaphragm-type pressure vessels. The Series D tank is designed to absorb the expansion forces of heating/cooling system water while maintaining proper system pressurization under varying operating conditions. The heavy duty diaphragm separates system water from the tank air charge thereby eliminating waterlogging problems.</p>,2984185
169236,"<p>Bell &amp; Gossett 1-1/2 HP, 115 volt, single phase, 1725 RPM, oil-lubricated motor for B&amp;G series 60 pumps, specifically model 617S in iron or bronze. This motor features a two-piece motor bracket, for easy service, sleeve bearings, and replaceable, resilient motor mounts. A modern, built-in thermal overload protector shuts the motor off if it overheats. All parts are UL recognized.</p>",2984186
172947LF,"<p>Series 60 cast iron body pumps are dependable, maintenance-free, in-line, centrifugal pumps intended to pump water through closed loop systems for heating and cooling primarily in commercial settings. The Series 60 features a three-piece design, which includes a motor, bearing assembly and volute. The Series 60's design has an internally, self-flushing mechanical seal, which provides superior flow circulation around the seal faces. This reduces heat buildup and increases particle removal. It also includes the XL-11 precision-crafted, permanently-lubricated, bearing system that ensures long life and quiet operation. All Series 60 pumps have ODP, open drip-proof, motor enclosures. Impellers are hydraulically balanced to provide smooth and efficient operation. The hydraulically balanced impeller and resilient motor also help provide smooth, quiet operation. The Series 60 602S is a single phase pump and features a bronze impeller. Flanges are included in 1"".</p>",2984187
172752,,2984188
60-B604S,,2984190
DM0080,,2984191
172705LF,"<p>Series 60 bronze body pumps are dependable, maintenance-free, in-line, centrifugal pumps intended to pump potable, domestic water primarily in commercial settings. The Series 60 features a three-piece design, which includes a motor, bearing assembly and volute. The Series 60's design has an internally, self-flushing mechanical seal, which provides superior flow circulation around the seal faces. This reduces heat buildup and increases particle removal. It also includes the XL-11 precision-crafted, permanently-lubricated, bearing system that ensures long life and quiet operation. Impellers are hydraulically balanced to provide smooth and efficient operation. The hydraulically balanced impeller and resilient motor also help provide smooth, quiet operation. The Series 60 B602S is a single phase pump and features a bronze impeller. Flanges are included in 1"".</p>",2984189
115125,,2984192
186835,,2984193
132124,"<p>Bell &amp; Gossett model 3DS-4S 4"" flanged straight-pattern triple-duty valve. Combined features include a positive shut-off, non-slam check valve, and system balancing. Its ductile iron body is rated to 175 psi and 250°F. This valve is made of heavy-duty cast iron and features a replaceable bronze disc with EPDM insert, a chatter-preventing spring, and brass read-out valves to allow accurate balancing.</p>",2984194
P50822,"<p>Bell &amp; Gossett bronze impeller for B&amp;G series 1531 pumps with 1-1/4"" shafts, size 5BC. Also fits series 1510 5BC pumps. Impeller diameter must be specified when ordered as this impeller is trimmable. Impeller diameter will be found on the pump's I.D. tag. Impellers are installed on the end of the pump shaft, which spins the impeller in turn pumping water, or other liquid, throughout your system.</p>",2984195
60-B605S,,2984196
60-617T,,2984198
105097,"<p>Series PD cast iron pumps are dependable, in-line booster pumps intended to pump water through closed loop systems for heating and cooling. The Series PD is designed for applications that require increased flow and head pressures. The Series PD features a three-piece design, which includes a motor, bearing assembly and volute. This innovative design provides for easy field service as the bearings, shaft and seal are all housed within the bearing assembly. That assembly can then be easily repaired or entirely replaced without disturbing the other components of your pump. The Series PD's resilient motor mounting is another feature unique to Bell &amp; Gossett. The mounting, combined with spring-loaded couplers, means your pump will run quietly and efficiently. The Series PD features a plastic impeller. A tube of Bell &amp; Gossett oil along with flange gaskets and mounting hardware are included with the pump. A pair of 3"" flanges are also included.</p>",2984199
105101,"<p>Series PD cast iron pumps are dependable, in-line booster pumps intended to pump water through closed loop systems for heating and cooling. The Series PD is designed for applications that require increased flow and head pressures. The Series PD features a three-piece design, which includes a motor, bearing assembly and volute. This innovative design provides for easy field service as the bearings, shaft and seal are all housed within the bearing assembly. That assembly can then be easily repaired or entirely replaced without disturbing the other components of your pump. The Series PD's resilient motor mounting is another feature unique to Bell &amp; Gossett. The mounting, combined with spring-loaded couplers, means your pump will run quietly and efficiently. The Series PD features a plastic impeller. A tube of Bell &amp; Gossett oil along with flange gaskets and mounting hardware are included with the pump. A pair of 3"" flanges are also included.</p>",2984200
172671LF,"<p>Series 60 cast iron body pumps are dependable, maintenance-free, in-line, centrifugal pumps intended to pump water through closed loop systems for heating and cooling primarily in commercial settings. The Series 60 features a three-piece design, which includes a motor, bearing assembly and volute. The Series 60's design has an internally, self-flushing mechanical seal, which provides superior flow circulation around the seal faces. This reduces heat buildup and increases particle removal. It also includes the XL-11 precision-crafted, permanently-lubricated, bearing system that ensures long life and quiet operation. All Series 60 pumps have ODP, open drip-proof, motor enclosures. Impellers are hydraulically balanced to provide smooth and efficient operation. The hydraulically balanced impeller and resilient motor also help provide smooth, quiet operation. The Series 60 616S is a single phase pump and features a bronze impeller. Flanges are included in 2"".</p>",2984201
P49620,"<p>Bell &amp; Gossett bronze impeller for B&amp;G series 1531 pumps with 1-1/4"" shafts, size 3BB. Also fits series 1510 3BB pumps. Impeller diameter must be specified when ordered as this impeller is trimmable. Impeller diameter will be found on the pump's I.D. tag. Impellers are installed on the end of the pump shaft, which spins the impeller in turn pumping water, or other liquid, throughout your system.</p>",2984202
104306,"<p>Bell &amp; Gossett ecocirc XL high-efficiency large wet rotor cast iron pump with electronically commutated permanent magnet motor (ECM/PM Technology). This pump's maximum operating temperature is 230°F and it's maximum working pressure is 175 psi. The ecocirc XL features three different standard control modes: proportional pressure control, constant pressure control, and constant speed. Night mode functionality provides additional energy savings. Advanced settings can be managed from a PC, tablet, or smartphone, and are accessible via optional built-in wireless or RS-485 cable.</p>",2984203
P75797,"<p>Bell &amp; Gossett bronze impeller for B&amp;G series VSC and VSCS pumps, sizes 6x6 and 6x8x12L. Impellers are installed on the end of the pump shaft, which spins the impeller in turn pumping water, or other liquid, throughout your system.</p>",2984204
SU63-2,,2984205
105098,,2984206
P53026,,2984207
P85427,"<p>Bell &amp; Gossett bronze impeller for B&amp;G series 80 pumps with 1-1/4"" shafts, model 805T size 2-1/2x2-1/2x9-1/2. Impeller diameter must be specified when ordered as this impeller is trimmable. Impeller diameter will be found on the pump's I.D. tag. Impellers are installed on the end of the pump shaft, which spins the impeller in turn pumping water, or other liquid, throughout your system.</p>",2984209
172741,,2984208
P50876,"<p>Bell &amp; Gossett bronze impeller, with an 11"" diameter, for B&amp;G series 1510 and 1531 6E pumps with 1-5/8"" shafts. Impellers are installed on the end of the pump shaft, which spins the impeller in turn pumping water, or other liquid, throughout your system.</p>",2984210
102220,,2984211
185050,,2984212
185051,,2984213
P78928,<p>Bell &amp; Gossett shaft for B&amp;G series VSC pumps.</p>,2984214
DM0140,,2984215
LD3AB,,2984216
116550,<p>Bell &amp; Gossett Series B 53 gallon vertical ASME diaphragm expansion tank with an acceptance volume of 53. Series B expansion tanks are ASME rated pre-charged bladder-type pressure vessels. The Series B tank is designed to absorb the expansion forces of heating/cooling system water while maintaining proper system pressurization under varying operating conditions. The heavy duty bladder contains system water thereby eliminating tank corrosion and waterlogging problems.</p>,2984217
P85466,"<p>Bell &amp; Gossett bronze impeller for B&amp;G series 80 pumps with 1-1/4"" shafts, model 8010T size 4x4x9-1/2. Impeller diameter must be specified when ordered as this impeller is trimmable. Impeller diameter will be found on the pump's I.D. tag. Impellers are installed on the end of the pump shaft, which spins the impeller in turn pumping water, or other liquid, throughout your system.</p>",2984218
P85070,,2984219
P50872,"<p>Bell &amp; Gossett bronze impeller for B&amp;G series 1510 pumps with 1-1/4"" shafts, size 5E. Impeller diameter must be specified when ordered as this impeller is trimmable. Impeller diameter will be found on the pump's I.D. tag. Impellers are installed on the end of the pump shaft, which spins the impeller in turn pumping water, or other liquid, throughout your system.</p>",2984220
172561,,2984221
E-90-1.5AAB,,2984222
172723LF,"<p>Series 60 cast iron body pumps are dependable, maintenance-free, in-line, centrifugal pumps intended to pump water through closed loop systems for heating and cooling primarily in commercial settings. The Series 60 features a three-piece design, which includes a motor, bearing assembly and volute. The Series 60's design has an internally, self-flushing mechanical seal, which provides superior flow circulation around the seal faces. This reduces heat buildup and increases particle removal. It also includes the XL-11 precision-crafted, permanently-lubricated, bearing system that ensures long life and quiet operation. All Series 60 pumps have ODP, open drip-proof, motor enclosures. Impellers are hydraulically balanced to provide smooth and efficient operation. The hydraulically balanced impeller and resilient motor also help provide smooth, quiet operation. The Series 60 615S is a single phase pump and features a bronze impeller. Flanges are included in 2"".</p>",2984223
P57583,,2984224
SU62-4,,2984225
172754LF,"<p>Series 60 cast iron body pumps are dependable, maintenance-free, in-line, centrifugal pumps intended to pump water through closed loop systems for heating and cooling primarily in commercial settings. The Series 60 features a three-piece design, which includes a motor, bearing assembly and volute. The Series 60's design has an internally, self-flushing mechanical seal, which provides superior flow circulation around the seal faces. This reduces heat buildup and increases particle removal. It also includes the XL-11 precision-crafted, permanently-lubricated, bearing system that ensures long life and quiet operation. All Series 60 pumps have ODP, open drip-proof, motor enclosures. Impellers are hydraulically balanced to provide smooth and efficient operation. The hydraulically balanced impeller and resilient motor also help provide smooth, quiet operation. The Series 60 619T is a three phase pump and features a bronze impeller. Flanges are included in 2"".</p>",2984226
185014LF,"<p>Bell &amp; Gossett bearing assembly for B&amp;G series 1510 and e-1510 bronze fitted pumps with large bearing frames, including all pumping parts (bearings, shaft, shaft sleeve, etc.) pre-assembled into a new pump housing. The bearing assembly also includes a tube of B&amp;G pump lubrication oil. Seal kit and volute cover gasket sold separately.</p>",2984227
E-1510-1.5AD,,2984229
P50866,"<p>Bell &amp; Gossett bronze impeller for B&amp;G series 1510 pumps with 1-5/8"" shafts, size 4E. Impeller diameter must be specified when ordered as this impeller is trimmable. Impeller diameter will be found on the pump's I.D. tag. Impellers are installed on the end of the pump shaft, which spins the impeller in turn pumping water, or other liquid, throughout your system.</p>",2984230
185050LF,"<p>Bell &amp; Gossett seal kit for B&amp;G series VSC-S and VSCS-S pumps with 1-5/8"" shafts. Seal kits prevent the pump from leaking water at the pump shaft. It is recommend to order a new pump cover gasket when replacing the seal kit as it necessary to replace it each time the pump is opened for maintenance.</p>",2984228
115127,,2984231
P85441,"<p>Bell &amp; Gossett bronze impeller for B&amp;G series 80 pumps with 1-5/8"" shafts, model 804T size 4x4x7. Impeller diameter must be specified when ordered as this impeller is trimmable. Impeller diameter will be found on the pump's I.D. tag. Impellers are installed on the end of the pump shaft, which spins the impeller in turn pumping water, or other liquid, throughout your system.</p>",2984232
P78986,<p>Bell &amp; Gossett shaft for B&amp;G series VSC pumps.</p>,2984233
168031,"<p>Series 1535 cast iron centrifugal pumps are robust, close-coupled, foot-mounted pumps intended to pump water through closed loop systems for hydronic heating and cooling, primarily in commercial settings. These pumps are ideal in applications where front end suction and top discharge is needed. The Series 1535 features a back pull-out design, which allows the pump to be serviced without disturbing system piping. Series 1535 pumps can be mounting either vertically or horizontally, providing a wide range of application flexibility. High quality, permanently lubricated ball bearings, along with a self-flushing mechanical seal, on the Series 1535 means years of dependable service. The 355T is a three phase pump and includes a bronze impeller, a 1-1/4"" end suction, and a 1"" top discharge.</p>",2984234
E1510-2AD,,2984235
P81980,"<p>Bell &amp; Gossett outboard volute cover plate for B&amp;G VSC and VSCS pumps, sizes 8x8 and 8x10x10-1/2.</p>",2984236
P81981,"<p>Bell &amp; Gossett inboard volute cover plate for B&amp;G VSC and VSCS pumps, sizes 8x8 and 8x10x10-1/2.</p>",2984237
105092LF,"<p>Series PD bronze pumps are dependable, in-line booster pumps intended to pump potable, domestic water from hot water heater tanks to areas such as bathrooms and kitchens. The Series PD is designed for applications that require increased flow and head pressures. The Series PD features a three-piece design, which includes a motor, bearing assembly and volute. This innovative design provides for easy field service as the bearings, shaft and seal are all housed within the bearing assembly. That assembly can then be easily repaired or entirely replaced without disturbing the other components of your pump. The Series PD's resilient motor mounting is another feature unique to Bell &amp; Gossett. The mounting, combined with spring-loaded couplers, means your pump will run quietly and efficiently. The Series PD features a bronze impeller. A tube of Bell &amp; Gossett oil along with flange gaskets and mounting hardware are included with the pump. A pair of 3"" flanges are also included.</p>",2984238
105096LF,"<p>Series PD bronze pumps are dependable, in-line booster pumps intended to pump potable, domestic water from hot water heater tanks to areas such as bathrooms and kitchens. The Series PD is designed for applications that require increased flow and head pressures. The Series PD features a three-piece design, which includes a motor, bearing assembly and volute. This innovative design provides for easy field service as the bearings, shaft and seal are all housed within the bearing assembly. That assembly can then be easily repaired or entirely replaced without disturbing the other components of your pump. The Series PD's resilient motor mounting is another feature unique to Bell &amp; Gossett. The mounting, combined with spring-loaded couplers, means your pump will run quietly and efficiently. The Series PD features a bronze impeller. A tube of Bell &amp; Gossett oil along with flange gaskets and mounting hardware are included with the pump. A pair of 3"" flanges are also included.</p>",2984239
P90452,<p>Bell &amp; Gossett shaft for B&amp;G series VSC and VSCS pumps.</p>,2984240
60-620T,,2984241
P51416,"<p>Bell &amp; Gossett bronze impeller, with a 13-1/2"" outside diameter, for B&amp;G series 1510 pumps, specifically model 3G. Impellers are installed on the end of the pump shaft, which spins the impeller in turn pumping water, or other liquid, throughout your system.</p>",2984242
102228,,2984243
90-2AB-BF,,2984244
105133,"<p>Series PD cast iron pumps are dependable, in-line booster pumps intended to pump water through closed loop systems for heating and cooling. The Series PD is designed for applications that require increased flow and head pressures. The Series PD features a three-piece design, which includes a motor, bearing assembly and volute. This innovative design provides for easy field service as the bearings, shaft and seal are all housed within the bearing assembly. That assembly can then be easily repaired or entirely replaced without disturbing the other components of your pump. The Series PD's resilient motor mounting is another feature unique to Bell &amp; Gossett. The mounting, combined with spring-loaded couplers, means your pump will run quietly and efficiently. The Series PD features a plastic impeller. A tube of Bell &amp; Gossett oil along with flange gaskets and mounting hardware are included with the pump. A pair of 3"" flanges are also included.</p>",2984246
P79002,<p>Bell &amp; Gossett shaft assembly for B&amp;G series VSC and VSCS pumps.</p>,2984247
185323,,2984248
P77509,"<p>Bell &amp; Gossett bronze impeller, with a 12-1/2"" outside diameter, for B&amp;G series 1510 pumps. Impellers are installed on the end of the pump shaft, which spins the impeller in turn pumping water, or other liquid, throughout your system.</p>",2984251
P77497,,2984249
117472,"<p>Bell &amp; Gossett model CB-6F 6"" 125lb flanged circuit setter with a straight pattern balancing valve. Its ductile iron body is rated to 175 psi and 250°F. Circuit setter balancing valves offer positive shut-off, a memory stop indicator, and integral, valved readout ports. These valves are designed to provide optimum system flow balance at minimum pump operating horsepower. Using a circuit setter calculator allows the user to plot and preset the valve to various settings while figuring in head loss versus flow. The valve features an adjustment knob with memory stop indicator for settings as well as read-out ports which allows a read-out meter to be attached, in turn displaying feet of water.</p>",2984252
115128,,2984250
132153,"<p>Bell &amp; Gossett model 3DS-4G 4"" grooved straight-pattern triple-duty valve. Combined features include a positive shut-off, non-slam check valve, and system balancing. Its ductile iron body is rated to 175 psi and 250°F. This valve is made of heavy-duty cast iron and features a replaceable bronze disc with EPDM insert, a chatter-preventing spring, and brass read-out valves to allow accurate balancing.</p>",2984253
172673LF,"<p>Series 60 cast iron body pumps are dependable, maintenance-free, in-line, centrifugal pumps intended to pump water through closed loop systems for heating and cooling primarily in commercial settings. The Series 60 features a three-piece design, which includes a motor, bearing assembly and volute. The Series 60's design has an internally, self-flushing mechanical seal, which provides superior flow circulation around the seal faces. This reduces heat buildup and increases particle removal. It also includes the XL-11 precision-crafted, permanently-lubricated, bearing system that ensures long life and quiet operation. All Series 60 pumps have ODP, open drip-proof, motor enclosures. Impellers are hydraulically balanced to provide smooth and efficient operation. The hydraulically balanced impeller and resilient motor also help provide smooth, quiet operation. The Series 60 620T is a three phase pump and features a bronze impeller. Flanges are included in 2"".</p>",2984254
104406LF,"<p>Bell &amp; Gossett ecocirc XL high-efficiency large wet rotor lead free bronze pump with electronically commutated permanent magnet motor (ECM/PM Technology). This pump's maximum operating temperature is 230°F and it's maximum working pressure is 175 psi. The ecocirc XL features three different standard control modes: proportional pressure control, constant pressure control, and constant speed. Night mode functionality provides additional energy savings. Advanced settings can be managed from a PC, tablet, or smartphone, and are accessible via optional built-in wireless or RS-485 cable.</p>",2984255
PD40T,,2984256
52-239-385-001,,2984257
P77513,"<p>Bell &amp; Gossett bronze impeller, with a 12-1/2"" outside diameter, for B&amp;G series 1510 pumps model 6G. Impellers are installed on the end of the pump shaft, which spins the impeller in turn pumping water, or other liquid, throughout your system.</p>",2984258
P85419,"<p>Bell &amp; Gossett bronze impeller for B&amp;G series 80 pumps with 1-1/4"" shafts, models 806, and 807T size 4x4x7. Impeller diameter must be specified when ordered as this impeller is trimmable. Impeller diameter will be found on the pump's I.D. tag. Impellers are installed on the end of the pump shaft, which spins the impeller in turn pumping water, or other liquid, throughout your system.</p>",2984259
185054,"<p>Bell &amp; Gossett seal kit for B&amp;G series VSCS pumps with 2-5/8"" shafts, size 10x12. Two seal kits are required to repair this pump. Seal kits prevent the pump from leaking water at the pump shaft. It is recommend to order a new pump cover gasket when replacing the seal kit as it necessary to replace it each time the pump is opened for maintenance.</p>",2984262
90,,2984263
PDB37S,,2984264
179049LF,"<p>Series 90 cast iron body booster pumps are reliable close-coupled, in-line pumps intended to pump water through closed loop systems for hydronic heating and cooling, primarily in commercial applications. The Series 90 features a back pull-out design, which allows the pump to be serviced without disturbing system piping. For flexibility in system design, Series 90 pumps may be mounted either vertically or horizontally, providing a wide range of application flexibility. The 90-36T is a three phase pump and includes a bronze impeller, as well as, an internally flushed BUNA/carbon ceramic seal. Flanges are included in 1-1/2"".</p>",2984265
E-1510PEO2.5AC,,2984267
E90-2AAB-BF,,2984269
60-618T,,2984268
616PF,,2984270
P75795,"<p>Bell &amp; Gossett bronze impeller for B&amp;G series VSC and VSCS pumps, size 6x8x9-3/4HL. Impellers are installed on the end of the pump shaft, which spins the impeller in turn pumping water, or other liquid, throughout your system.</p>",2984272
172747,,2984273
60-2X7,,2984274
E1510-2AD-ES,,2984276
90SERIES,,2984277
132127,"<p>Bell &amp; Gossett model 3DS-8S 8"" flanged straight-pattern triple-duty valve. Combined features include a positive shut-off, non-slam check valve, and system balancing. Its ductile iron body is rated to 175 psi and 250°F. This valve is made of heavy-duty cast iron and features a replaceable bronze disc with EPDM insert, a chatter-preventing spring, and brass read-out valves to allow accurate balancing.</p>",2984278
P77463,"<p>Bell &amp; Gossett bronze impeller for B&amp;G series VSC and VSCS pumps, sizes 8x8 and 8x10x10-1/2. Impellers are installed on the end of the pump shaft, which spins the impeller in turn pumping water, or other liquid, throughout your system.</p>",2984280
189583,,2984281
PDB38T,,2984284
116042,"<p>Bell &amp; Gossett No. 400 compression tank with a 400 gallon volume, 125 psi standard working pressure, and a maximum design temperature of 650°F that requires an ATFL Airtrol tank fitting. The plain steel compression tank absorbs the expansion forces of the system water and provides proper pressurization under varying operating conditions. When used with Airtrol fittings, it provides positive air control. These tanks are constructed of carbon steel in accordance with Section VIII, Division 1 of the ASME Boiler and Pressure Vessel Code.</p>",2984285
172721LF,"<p>Series 60 bronze body pumps are dependable, maintenance-free, in-line, centrifugal pumps intended to pump potable, domestic water primarily in commercial settings. The Series 60 features a three-piece design, which includes a motor, bearing assembly and volute. The Series 60's design has an internally, self-flushing mechanical seal, which provides superior flow circulation around the seal faces. This reduces heat buildup and increases particle removal. It also includes the XL-11 precision-crafted, permanently-lubricated, bearing system that ensures long life and quiet operation. All Series 60 pumps have ODP, open drip-proof, motor enclosures. Impellers are hydraulically balanced to provide smooth and efficient operation. The hydraulically balanced impeller and resilient motor also help provide smooth, quiet operation. The Series 60 B612S is a single phase pump and features a bronze impeller. Flanges are included in 2"".</p>",2984286
P75436,"<p>Bell &amp; Gossett bronze impeller for B&amp;G series VSC and VSCS pumps, size 4x5x14-3/4. Impellers are installed on the end of the pump shaft, which spins the impeller in turn pumping water, or other liquid, throughout your system.</p>",2984287
P82045,"<p>Bell &amp; Gossett bronze impeller for B&amp;G series VSC and VSCS pumps, size 10x12x11. Impellers are installed on the end of the pump shaft, which spins the impeller in turn pumping water, or other liquid, throughout your system.</p>",2984292
189589,,2984293
E-1531-4BD,,2984295
SU86-2,,2984294
E80-2.5X2.5X7B,,2984298
186836,,2984296
4-245-08-048-0,,2984300
80-2X2X9-1/2B,,2984302
,,2984311
802X2X9-1/2,,2984307
625PF,,2984308
620PF-B,,2984309
,,2984311
60AB,,2984310
117474,"<p>Bell &amp; Gossett model CB-10F 10"" 125lb flanged circuit setter with a straight pattern balancing valve. Its ductile iron body is rated to 175 psi and 250°F. Circuit setter balancing valves offer positive shut-off, a memory stop indicator, and integral, valved readout ports. These valves are designed to provide optimum system flow balance at minimum pump operating horsepower. Using a circuit setter calculator allows the user to plot and preset the valve to various settings while figuring in head loss versus flow. The valve features an adjustment knob with memory stop indicator for settings as well as read-out ports which allows a read-out meter to be attached, in turn displaying feet of water.</p>",2984312
P81911,<p>Bell &amp; Gossett shaft assembly for B&amp;G series VSC and VSCS pumps.</p>,2984313
185376,,2984314
1BN163LF,,2984316
620PF,,2984318
132157,"<p>Bell &amp; Gossett model 3DS-10G 10"" grooved straight-pattern triple-duty valve. Combined features include a positive shut-off, non-slam check valve, and system balancing. Its ductile iron body is rated to 175 psi and 250°F. This valve is made of heavy-duty cast iron and features a replaceable bronze disc with EPDM insert, a chatter-preventing spring, and brass read-out valves to allow accurate balancing.</p>",2984317
P78125,"<p>Bell &amp; Gossett bronze impeller for B&amp;G series VSC and VSCS pumps, sizes 10x10 and 10x12x13. Impellers are installed on the end of the pump shaft, which spins the impeller in turn pumping water, or other liquid, throughout your system.</p>",2984320
E-80,,2984322
E-1531,,2984326
1510-4,,2984327
4-245-16-036-0,,2984328
1BN165LF,,2984329
5-260-16-036-0,,2984331
117475,"<p>Bell &amp; Gossett model CB-12F 12"" 125lb flanged circuit setter with a straight pattern balancing valve. Its ductile iron body is rated to 175 psi and 250°F. Circuit setter balancing valves offer positive shut-off, a memory stop indicator, and integral, valved readout ports. These valves are designed to provide optimum system flow balance at minimum pump operating horsepower. Using a circuit setter calculator allows the user to plot and preset the valve to various settings while figuring in head loss versus flow. The valve features an adjustment knob with memory stop indicator for settings as well as read-out ports which allows a read-out meter to be attached, in turn displaying feet of water.</p>",2984330
VSX-VSC,,2984332
QSU245-2,,2984333
101005,"<p>Bell &amp; Gossett 1"" iron pump flange for B&amp;G series HV, NRF, and PL iron body booster pumps.</p>",2984334
102208LF,"<p>Series PR AB all bronze pumps are dependable, in-line booster pumps intended to pump potable, domestic water from hot water heater tanks to areas such as bathrooms and kitchens. The Series PR is designed for applications that require increased flow and head pressures. The Series PR features a three-piece design, which includes a motor, bearing assembly and volute. This innovative design provides for easy field service as the bearings, shaft and seal are all housed within the bearing assembly. That assembly can then be easily repaired or entirely replaced without disturbing the other components of your pump. The Series PR's resilient motor mounting is another feature unique to Bell &amp; Gossett. The mounting, combined with spring-loaded couplers, means your pump will run quietly and efficiently. The Series PR AB features a bronze impeller. A tube of Bell &amp; Gossett oil along with flange gaskets and mounting hardware are included with the pump. Flanges are available separately in 3/4"", 1"", 1-1/4"", and 1-1/2"".</p>",2984335
